Draw Date,Regular Numbers,,,,,,,Bonus
29th December 2020,8,12,23,25,29,43,46,13
25th December 2020,8,12,16,30,38,48,50,14
22nd December 2020,4,29,30,37,38,43,44,15
18th December 2020,2,9,10,22,31,35,49,30
15th December 2020,1,4,20,33,44,45,49,47
11th December 2020,9,21,30,33,38,39,46,48
8th December 2020,5,13,14,21,36,37,43,40
4th December 2020,5,7,14,23,24,46,47,11
1st December 2020,1,4,9,15,18,24,31,43
27th November 2020,9,15,35,41,42,45,46,43
24th November 2020,6,8,13,27,41,46,47,39
20th November 2020,11,17,29,33,39,40,42,48
17th November 2020,6,18,21,30,31,34,38,1
13th November 2020,3,4,7,19,44,48,49,8
10th November 2020,4,6,18,27,28,30,40,13
6th November 2020,7,9,19,20,26,32,35,49
3rd November 2020,5,7,14,21,26,34,49,31
30th October 2020,19,20,23,31,37,46,48,50
27th October 2020,2,9,11,29,33,39,44,15
23rd October 2020,2,8,20,21,29,34,37,41
20th October 2020,8,27,30,44,46,47,50,32
16th October 2020,1,4,8,10,12,17,41,19
13th October 2020,3,10,13,19,21,45,49,12
9th October 2020,4,6,12,30,32,33,34,29
6th October 2020,4,5,9,19,28,34,44,8
2nd October 2020,7,12,16,26,40,45,49,20
29th September 2020,4,6,9,15,22,24,28,44
25th September 2020,1,7,9,28,38,48,50,13
22nd September 2020,8,9,37,38,40,43,49,28
18th September 2020,2,11,22,25,32,40,44,27
15th September 2020,1,5,6,24,27,28,32,38
11th September 2020,4,15,16,17,35,46,50,13
8th September 2020,6,12,19,27,30,32,44,18
4th September 2020,7,18,22,26,35,41,50,11
1st September 2020,2,9,29,30,31,35,37,19
28th August 2020,5,8,9,28,32,48,50,40
25th August 2020,1,21,34,38,39,40,46,24
21st August 2020,1,2,5,11,20,30,39,27
18th August 2020,1,2,16,32,44,46,50,6
14th August 2020,3,22,37,39,41,43,44,20
11th August 2020,9,17,22,33,36,45,46,41
7th August 2020,9,21,26,28,30,37,44,31
4th August 2020,18,24,25,30,31,33,48,27
31st July 2020,8,16,19,22,28,31,38,25
28th July 2020,7,10,11,24,39,43,48,23
24th July 2020,17,20,27,29,37,39,41,10
21st July 2020,7,22,26,35,46,47,49,19
17th July 2020,5,11,15,18,20,24,46,37
14th July 2020,3,9,21,35,44,47,48,23
10th July 2020,17,18,27,38,39,40,47,24
7th July 2020,9,20,21,22,25,26,37,3
3rd July 2020,3,4,21,33,38,44,45,32
30th June 2020,11,12,22,33,37,48,49,41
26th June 2020,8,14,31,36,39,46,47,20
23rd June 2020,2,3,6,13,37,42,46,19
19th June 2020,3,12,17,22,29,31,48,8
16th June 2020,1,3,22,30,31,37,40,6
12th June 2020,1,16,24,28,30,31,47,25
5th June 2020,1,8,15,16,32,39,40,31
29th May 2020,5,12,15,23,26,38,41,45
22nd May 2020,9,11,14,21,22,24,41,10
15th May 2020,7,30,32,40,47,48,50,16
8th May 2020,3,4,10,11,26,28,40,31
1st May 2020,3,12,25,36,37,42,49,9
24th April 2020,8,9,19,26,27,31,46,48
17th April 2020,2,15,21,29,40,47,50,35
10th April 2020,3,9,10,14,15,19,20,25
3rd April 2020,5,9,10,25,27,29,38,31
31st March 2020,5,7,22,29,32,37,39,3
20th March 2020,9,16,17,18,21,22,27,31
13th March 2020,7,14,15,35,36,49,50,11
6th March 2020,2,9,10,35,41,42,47,40
28th February 2020,21,27,30,32,33,36,46,38
21st February 2020,4,7,14,37,48,49,50,28
14th February 2020,14,17,20,34,38,45,49,5
7th February 2020,21,24,26,31,36,48,49,39
31st January 2020,2,27,30,39,44,45,49,17
24th January 2020,2,11,14,21,23,34,36,5
17th January 2020,5,6,36,39,40,46,48,34
10th January 2020,10,13,14,24,28,47,48,12
3rd January 2020,8,18,20,24,31,37,39,34
